"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2020","9,993.8","10,092.3","10,092.3","9,895.4","2.43M","-0.98%"
"04/29/2020","10,092.3","9,993.8","10,092.3","9,944.6","2.43M","0.99%"
"04/28/2020","9,993.8","9,895.4","10,043.1","9,846.2","2.53M","0.99%"
"04/27/2020","9,895.4","9,993.8","10,141.5","9,846.2","3.67M","-0.98%"
"04/24/2020","9,993.8","9,944.6","10,043.1","9,846.2","2.57M","0.00%"
"04/23/2020","9,993.8","10,092.3","10,240.0","9,993.8","4.22M","-0.49%"
"04/22/2020","10,043.1","9,747.7","10,043.1","9,550.8","5.36M","3.03%"
"04/21/2020","9,747.7","10,141.5","10,141.5","9,698.5","12.22M","-4.35%"
"04/20/2020","10,190.8","10,436.9","10,436.9","10,141.5","6.22M","-1.43%"
"04/17/2020","10,338.5","10,092.3","10,387.7","10,092.3","9.77M","2.94%"
"04/16/2020","10,043.1","9,944.6","10,043.1","9,895.4","3.85M","0.99%"
"04/15/2020","9,944.6","9,846.2","10,190.8","9,846.2","7.49M","1.00%"
"04/14/2020","9,846.2","9,846.2","9,944.6","9,698.5","6.43M","0.00%"
"04/13/2020","9,846.2","8,812.3","10,043.1","8,812.3","3.91M","1.01%"
"04/10/2020","9,747.7","9,353.8","9,944.6","9,353.8","5.11M","-1.00%"
"04/09/2020","9,846.2","10,929.2","10,929.2","9,846.2","8.27M","-0.99%"
"04/08/2020","9,944.6","10,978.5","10,978.5","9,698.5","4.74M","-0.49%"
"04/07/2020","9,993.8","10,338.5","10,338.5","9,846.2","9.07M","-1.46%"
"04/06/2020","10,141.5","9,550.8","10,240.0","9,403.1","11.69M","7.85%"
"04/03/2020","9,403.1","8,910.8","9,550.8","8,910.8","7.26M","2.69%"
"04/01/2020","9,156.9","7,926.2","9,353.8","7,926.2","5.61M","4.49%"
"03/31/2020","8,763.1","8,960.0","9,255.4","8,566.2","9.21M","-2.20%"
"03/30/2020","8,960.0","9,600.0","9,600.0","8,812.3","12.04M","-7.61%"
"03/27/2020","9,698.5","9,698.5","9,895.4","9,600.0","8.09M","0.00%"
"03/26/2020","9,698.5","10,141.5","10,141.5","9,698.5","7.38M","-3.90%"
"03/25/2020","10,092.3","9,846.2","10,240.0","9,846.2","8.36M","4.59%"
"03/24/2020","9,649.2","9,403.1","9,796.9","9,403.1","8.77M","1.55%"
"03/23/2020","9,501.5","10,436.9","10,535.4","9,501.5","20.36M","-9.81%"
"03/20/2020","10,535.4","11,421.5","11,421.5","10,338.5","6.79M","1.42%"
"03/19/2020","10,387.7","10,338.5","10,486.2","10,190.8","8.30M","-0.47%"
"03/18/2020","10,436.9","10,486.2","10,633.8","10,289.2","10.04M","0.47%"
"03/17/2020","10,387.7","10,240.0","10,535.4","9,895.4","13.34M","0.96%"
"03/16/2020","10,289.2","10,830.8","10,978.5","10,190.8","9.37M","-5.00%"
"03/13/2020","10,830.8","10,584.6","11,076.9","10,092.3","18.32M","-0.45%"
"03/12/2020","10,880.0","11,323.1","11,323.1","10,584.6","22.51M","-5.56%"
"03/11/2020","11,520.0","11,963.1","12,012.3","11,323.1","15.93M","-3.31%"
"03/10/2020","11,913.8","11,323.1","12,209.2","11,273.8","15.40M","3.86%"
"03/09/2020","11,470.8","12,160.0","12,160.0","11,323.1","34.08M","-7.91%"
"03/06/2020","12,455.4","12,553.8","12,553.8","12,356.9","8.04M","-1.17%"
"03/05/2020","12,603.1","12,800.0","12,996.9","12,504.6","12.12M","-0.77%"
"03/04/2020","12,701.5","12,603.1","12,701.5","12,455.4","10.25M","0.78%"
"03/03/2020","12,603.1","12,603.1","12,750.8","12,455.4","12.93M","1.59%"
"03/02/2020","12,406.2","12,012.3","12,553.8","12,012.3","7.37M","0.00%"
"02/28/2020","12,406.2","11,323.1","12,455.4","11,323.1","12.11M","-1.18%"
"02/27/2020","12,553.8","11,913.8","12,553.8","11,913.8","10.79M","3.66%"
"02/26/2020","12,110.8","12,307.7","12,356.9","11,963.1","9.18M","-1.99%"
"02/25/2020","12,356.9","11,569.2","12,356.9","11,372.3","16.82M","4.58%"
"02/24/2020","11,815.4","12,553.8","12,603.1","11,716.9","20.96M","-6.61%"
"02/21/2020","12,652.3","12,258.5","13,095.4","12,258.5","12.87M","-2.65%"
"02/20/2020","12,996.9","12,947.7","13,292.3","12,849.2","11.33M","0.38%"
"02/19/2020","12,947.7","13,046.2","13,144.6","12,750.8","10.34M","-1.13%"
"02/18/2020","13,095.4","12,996.9","13,341.5","12,947.7","12.78M","0.76%"
"02/17/2020","12,996.9","12,947.7","13,144.6","12,800.0","7.65M","0.00%"
"02/14/2020","12,996.9","12,553.8","13,193.9","12,553.8","16.29M","3.53%"
"02/13/2020","12,553.8","12,603.1","12,652.3","12,356.9","7.66M","-0.39%"
"02/12/2020","12,603.1","11,716.9","12,652.3","11,716.9","21.36M","8.02%"
